dependency,repo
gorakhargosh/watchdog,apeworx/ape
ethereum/web3.py,apeworx/ape
ethereum/py-trie,apeworx/ape
ethereum/py-geth,apeworx/ape
ethereum/hexbytes,apeworx/ape
ethereum/eth-utils,apeworx/ape
ethereum/eth-typing,apeworx/ape
ethereum/eth-account,apeworx/ape
ethereum/eth-abi,apeworx/ape
dateutil/dateutil,apeworx/ape
bobthebuidler/cchecksum,apeworx/ape
apeworx/evmchains,apeworx/ape
apeworx/evm-trace,apeworx/ape
apeworx/ethpm-types,apeworx/ape
apeworx/eth-pydantic-types,apeworx/ape
apeworx/eip712,apeworx/ape
mitsuhiko/similar,argotorg/fe
vorner/signal-hook,argotorg/fe
rapidfuzz/strsim-rs,argotorg/fe
gimli-rs/object,argotorg/fe
gimli-rs/gimli,argotorg/fe
djc/rustc-version-rs,argotorg/fe
rust-lang/backtrace-rs,argotorg/fe
rustcrypto/traits,argotorg/fe
rustcrypto/hashes,argotorg/fe
rustcrypto/utils,argotorg/fe
frommi/miniz_oxide,argotorg/fe
oyvindln/adler2,argotorg/fe
danaugrs/overload,argotorg/fe
gimli-rs/addr2line,argotorg/fe
bytecodealliance/wasmtime,argotorg/fe
qwandor/anes-rs,argotorg/fe
stebalien/tempfile,argotorg/fe
rust-lang/glob,argotorg/fe
sanpii/dot2.rs,argotorg/fe
smol-rs/async-compat,argotorg/fe
rust-lang-nursery/lazy-static.rs,argotorg/fe
bheisler/criterion.rs,argotorg/fe
burntsushi/walkdir,argotorg/fe
jerry73204/serde-semver,argotorg/fe
servo/rust-smallvec,argotorg/fe
fe-lang/dir-test,argotorg/fe
bitflags/bitflags,argotorg/fe
dtolnay/semver,argotorg/fe
jeltef/derive_more,argotorg/fe
mitsuhiko/insta,argotorg/fe
rust-itertools/itertools,argotorg/fe
rustwasm/wasm-bindgen,argotorg/fe
mre/futures-batch,argotorg/fe
toml-rs/toml,argotorg/fe
servo/rust-url,argotorg/fe
rust-analyzer/smol_str,argotorg/fe
dtolnay/anyhow,argotorg/fe
dtolnay/thiserror,argotorg/fe
mzabaluev/unwrap-infallible,argotorg/fe
rayon-rs/either,argotorg/fe
rust-lang/rustc-hash,argotorg/fe
clap-rs/clap,argotorg/fe
pyros2097/rust-embed,argotorg/fe
rust-num/num-traits,argotorg/fe
rust-lang/futures-rs,argotorg/fe
tower-rs/tower,argotorg/fe
serde-rs/json,argotorg/fe
micahscopes/act-locally,argotorg/fe
rust-num/num-bigint,argotorg/fe
oxalica/async-lsp,argotorg/fe
async-rs/async-std,argotorg/fe
gankra/thin-vec,argotorg/fe
camino-rs/camino,argotorg/fe
tokio-rs/tokio,argotorg/fe
indexmap-rs/indexmap,argotorg/fe
indexmap-rs/ordermap,argotorg/fe
maciejhirsz/logos,argotorg/fe
dtolnay/paste,argotorg/fe
rust-lang/ena,argotorg/fe
salsa-rs/salsa,argotorg/fe
rust-analyzer/rowan,argotorg/fe
wsddn/go-ecdh,argotorg/hevm
steakknife/hamming,argotorg/hevm
steakknife/bloomfilter,argotorg/hevm
spaolacci/murmur3,argotorg/hevm
rs/xhandler,argotorg/hevm
robertkrimen/otto,argotorg/hevm
pborman/uuid,argotorg/hevm
oneofone/xxhash,argotorg/hevm
ethereum/go-ethereum,argotorg/hevm
elastic/gosigar,argotorg/hevm
aws/aws-sdk-go,argotorg/hevm
aristanetworks/goarista,argotorg/hevm
z3prover/z3,argotorg/solidity
taminomara/sphinx-a4doc,argotorg/solidity
sphinx-doc/sphinx,argotorg/solidity
readthedocs/sphinx_rtd_theme,argotorg/solidity
protocolbuffers/protobuf,argotorg/solidity
nlohmann/json,argotorg/solidity
fmtlib/fmt,argotorg/solidity
ethereum/hevm,argotorg/solidity
ethereum/evmone,argotorg/solidity
ethereum/evmc,argotorg/solidity
ethdebug/format,argotorg/solidity
ericniebler/range-v3,argotorg/solidity
boostorg/boost,argotorg/solidity
googlecloudplatform/cloud-sql-nodejs-connector,argotorg/sourcify
mihneadb/node-directory-tree,argotorg/sourcify
commitizen/cz-conventional-changelog,argotorg/sourcify
tschaub/gh-pages,argotorg/sourcify
definitelytyped/definitelytyped,argotorg/sourcify
isaacs/rimraf,argotorg/sourcify
trentm/node-bunyan,argotorg/sourcify
db-migrate/node-db-migrate,argotorg/sourcify
sindresorhus/open-cli,argotorg/sourcify
domenic/sinon-chai,argotorg/sourcify
prettier/eslint-config-prettier,argotorg/sourcify
adamgruber/mochawesome,argotorg/sourcify
expressjs/serve-index,argotorg/sourcify
pkrumins/node-tree-kill,argotorg/sourcify
chaijs/chai-as-promised,argotorg/sourcify
calvinmetcalf/copyfiles,argotorg/sourcify
scottie1984/swagger-ui-express,argotorg/sourcify
db-migrate/pg,argotorg/sourcify
chaijs/chai-http,argotorg/sourcify
roccomuso/memorystore,argotorg/sourcify
prettymuchbryce/http-status-codes,argotorg/sourcify
sinonjs/sinon,argotorg/sourcify
streetsidesoftware/cspell,argotorg/sourcify
voxpelli/node-connect-pg-simple,argotorg/sourcify
tj/commander.js,argotorg/sourcify
cryptocoinjs/bs58,argotorg/sourcify
richardgirges/express-fileupload,argotorg/sourcify
bcomnes/npm-run-all2,argotorg/sourcify
chalk/chalk,argotorg/sourcify
stuk/jszip,argotorg/sourcify
winstonjs/winston,argotorg/sourcify
uuidjs/uuid,argotorg/sourcify
bcoe/c8,argotorg/sourcify
whitlockjc/json-refs,argotorg/sourcify
nock/nock,argotorg/sourcify
paulmillr/readdirp,argotorg/sourcify
krzkaczor/typestrict,argotorg/sourcify
chaijs/chai,argotorg/sourcify
kriszyp/cbor-x,argotorg/sourcify
fairdatasociety/bmt-js,argotorg/sourcify
motdotla/dotenv,argotorg/sourcify
npm/node-semver,argotorg/sourcify
typestrong/ts-node,argotorg/sourcify
jeremyfa/yaml.js,argotorg/sourcify
prettier/prettier,argotorg/sourcify
expressjs/cors,argotorg/sourcify
eslint/eslint,argotorg/sourcify
mochajs/mocha,argotorg/sourcify
piscinajs/piscina,argotorg/sourcify
shazow/whatsabi,argotorg/sourcify
node-config/node-config,argotorg/sourcify
nomicfoundation/hardhat,argotorg/sourcify
typescript-eslint/typescript-eslint,argotorg/sourcify
cdimascio/express-openapi-validator,argotorg/sourcify
aws/aws-sdk-js-v3,argotorg/sourcify
expressjs/express,argotorg/sourcify
expressjs/session,argotorg/sourcify
lerna/lerna,argotorg/sourcify
ethers-io/ethers.js,argotorg/sourcify
brianc/node-postgres,argotorg/sourcify
solidity-parser/parser,argotorg/sourcify
microsoft/typescript,argotorg/sourcify
ethereum/solc-js,argotorg/sourcify
tkaitchuck/ahash,arkworks-rs/algebra
servo/rust-fnv,arkworks-rs/algebra
rustcrypto/hashes,arkworks-rs/algebra
rust-itertools/itertools,arkworks-rs/algebra
kokakiwi/rust-hex,arkworks-rs/algebra
mackwic/colored,axiom-crypto/snark-verifier
bitflags/bitflags,axiom-crypto/snark-verifier
tspiteri/az,axiom-crypto/snark-verifier
paritytech/parity-common,axiom-crypto/snark-verifier
burntsushi/ucd-generate,axiom-crypto/snark-verifier
rustcrypto/traits,axiom-crypto/snark-verifier
mvdnes/spin-rs,axiom-crypto/snark-verifier
kornelski/rust-rgb,axiom-crypto/snark-verifier
rustcrypto/signatures,axiom-crypto/snark-verifier
lambda-fairy/rust-errno,axiom-crypto/snark-verifier
rustcrypto/macs,axiom-crypto/snark-verifier
arkworks-rs/std,axiom-crypto/snark-verifier
kokakiwi/rust-hex,axiom-crypto/snark-verifier
frondeus/test-case,axiom-crypto/snark-verifier
rust-num/num,axiom-crypto/snark-verifier
rust-lang/cc-rs,axiom-crypto/snark-verifier
marshallpierce/rust-base64,axiom-crypto/snark-verifier
jedisct1/rust-siphash,axiom-crypto/snark-verifier
sdroege/bytes-num-slice-cast,axiom-crypto/snark-verifier
rustcrypto/hashes,axiom-crypto/snark-verifier
ratatui/ratatui,axiom-crypto/snark-verifier
tkaitchuck/ahash,axiom-crypto/snark-verifier
mcarton/rust-derivative,axiom-crypto/snark-verifier
japaric/cast.rs,axiom-crypto/snark-verifier
cryptocorrosion/cryptocorrosion,axiom-crypto/snark-verifier
rustcrypto/utils,axiom-crypto/snark-verifier
arkworks-rs/algebra,axiom-crypto/snark-verifier
tikv/pprof-rs,axiom-crypto/snark-verifier
jbaublitz/getset,axiom-crypto/snark-verifier
crossterm-rs/crossterm,axiom-crypto/snark-verifier
rust-itertools/itertools,axiom-crypto/snark-verifier
jonasbb/serde_with,axiom-crypto/snark-verifier
magiclen/educe,axiom-crypto/snark-verifier
dtolnay/paste,axiom-crypto/snark-verifier
akhilles/crc-catalog,axiom-crypto/snark-verifier
serde-rs/json,axiom-crypto/snark-verifier
bheisler/criterion.rs,axiom-crypto/snark-verifier
bincode-org/bincode,axiom-crypto/snark-verifier
rust-lang-nursery/lazy-static.rs,axiom-crypto/snark-verifier
rust-num/num-integer,axiom-crypto/snark-verifier
rust-num/num-bigint,axiom-crypto/snark-verifier
rayon-rs/rayon,axiom-crypto/snark-verifier
rust-num/num-traits,axiom-crypto/snark-verifier
serde-rs/serde,axiom-crypto/snark-verifier
zkcrypto/pairing,axiom-crypto/snark-verifier
rust-random/rand,axiom-crypto/snark-verifier
arkworks-rs/snark,axiom-crypto/snark-verifier
danipopes/keccak-asm,axiom-crypto/snark-verifier
bluealloy/revm,axiom-crypto/snark-verifier
strml/async-limiter,blockscout/blockscout
coolaj86/node-browser-compat,blockscout/blockscout
poanetwork/eth-net-props,blockscout/blockscout
kesla/parse-headers,blockscout/blockscout
level/codec,blockscout/blockscout
sudodoki/copy-to-clipboard,blockscout/blockscout
debug-js/debug,blockscout/blockscout
cryptocoinjs/secp256k1-node,blockscout/blockscout
coolaj86/node,blockscout/blockscout
babel/babel,blockscout/blockscout
chainsafe/web3.js,blockscout/blockscout
substack/https-browserify,blockscout/blockscout
ai/nanoid,blockscout/blockscout
fengyuanchen/viewerjs,blockscout/blockscout
tapjs/stack-utils,blockscout/blockscout
malihu/malihu-custom-scrollbar-plugin,blockscout/blockscout
benmosher/eslint-plugin-import,blockscout/blockscout
webpack-contrib/css-minimizer-webpack-plugin,blockscout/blockscout
mysticatea/eslint-plugin-node,blockscout/blockscout
isaacs/node-glob,blockscout/blockscout
zenorocha/clipboard.js,blockscout/blockscout
webpack-contrib/copy-webpack-plugin,blockscout/blockscout
pikaday/pikaday,blockscout/blockscout
webpack-contrib/style-loader,blockscout/blockscout
yoshuawuyts/nanomorph,blockscout/blockscout
webpack-contrib/css-loader,blockscout/blockscout
js-cookie/js-cookie,blockscout/blockscout
dimsemenov/photoswipe,blockscout/blockscout
tarekraafat/autocomplete.js,blockscout/blockscout
jhiesey/stream-http,blockscout/blockscout
leizongmin/js-xss,blockscout/blockscout
sweetalert2/sweetalert2,blockscout/blockscout
chartjs/chartjs-adapter-luxon,blockscout/blockscout
highlightjs/highlight.js,blockscout/blockscout
eslint/js,blockscout/blockscout
webpack-contrib/postcss-loader,blockscout/blockscout
fortawesome/font-awesome,blockscout/blockscout
eslint-community/eslint-plugin-promise,blockscout/blockscout
mixpanel/mixpanel-js,blockscout/blockscout
zloirock/core-js,blockscout/blockscout
postcss/autoprefixer,blockscout/blockscout
redux-utilities/reduce-reducers,blockscout/blockscout
web3modal/web3modal,blockscout/blockscout
webpack-contrib/file-loader,blockscout/blockscout
webpack/webpack-cli,blockscout/blockscout
webpack-contrib/mini-css-extract-plugin,blockscout/blockscout
dropzone/dropzone,blockscout/blockscout
moment/luxon,blockscout/blockscout
domchristie/humps,blockscout/blockscout
jquery/jquery,blockscout/blockscout
eslint/eslint,blockscout/blockscout
jestjs/jest,blockscout/blockscout
browserify/stream-browserify,blockscout/blockscout
fezvrasta/popper.js,blockscout/blockscout
coderpuppy/os-browserify,blockscout/blockscout
lodash/lodash,blockscout/blockscout
moment/moment,blockscout/blockscout
webpack-contrib/terser-webpack-plugin,blockscout/blockscout
postcss/postcss,blockscout/blockscout
webpack/sass-loader,blockscout/blockscout
webpack/webpack,blockscout/blockscout
reduxjs/redux,blockscout/blockscout
chartjs/chart.js,blockscout/blockscout
babel/babel-loader,blockscout/blockscout
twbs/bootstrap,blockscout/blockscout
ethereum/web3.js,blockscout/blockscout
mikemcl/bignumber.js,blockscout/blockscout
crypto-browserify/crypto-browserify,blockscout/blockscout
ethereum/solc-js,blockscout/blockscout
indutny/hmac-drbg,blockscout/blockscout
paritytech/parity-common,certora/certoraprover
marshallpierce/rust-base64,certora/certoraprover
rustcrypto/aeads,certora/certoraprover
rustcrypto/macs,certora/certoraprover
solana-labs/solana-program-library,certora/certoraprover
rustcrypto/sponges,certora/certoraprover
rapidfuzz/strsim-rs,certora/certoraprover
anza-xyz/agave,certora/certoraprover
rustcrypto/utils,certora/certoraprover
rustcrypto/block-modes,certora/certoraprover
solana-program/libraries,certora/certoraprover
rust-random/rngs,certora/certoraprover
microsoft/windows-rs,certora/certoraprover
tov/feature-probe-rs,certora/certoraprover
rustcrypto/hashes,certora/certoraprover
stellar/rs-soroban-env,certora/certoraprover
nvzqz/static-assertions-rs,certora/certoraprover
pandas-dev/pandas-stubs,certora/certoraprover
rustcrypto/universal-hashes,certora/certoraprover
rustcrypto/password-hashes,certora/certoraprover
servo/rust-url,certora/certoraprover
cryptocorrosion/cryptocorrosion,certora/certoraprover
tov/bv-rs,certora/certoraprover
astanin/python-tabulate,certora/certoraprover
rust-lang/cc-rs,certora/certoraprover
rustcrypto/block-ciphers,certora/certoraprover
dpranke/pyjson5,certora/certoraprover
eira-fransham/crunchy,certora/certoraprover
rustcrypto/traits,certora/certoraprover
chronotope/chrono,certora/certoraprover
dalek-cryptography/subtle,certora/certoraprover
bytecodealliance/wasm-tools,certora/certoraprover
tqdm/tqdm,certora/certoraprover
rust-cli/env_logger,certora/certoraprover
jedisct1/rust-siphash,certora/certoraprover
pypa/twine,certora/certoraprover
charmoniumq/tqdm-stubs,certora/certoraprover
pycqa/flake8,certora/certoraprover
matklad/once_cell,certora/certoraprover
irgeek/strenum,certora/certoraprover
rust-lang/getopts,certora/certoraprover
gimli-rs/object,certora/certoraprover
clap-rs/clap,certora/certoraprover
alexcrichton/rustc-demangle,certora/certoraprover
facelessuser/wcmatch,certora/certoraprover
pallets/jinja,certora/certoraprover
stellar/rs-soroban-sdk,certora/certoraprover
pallets/click,certora/certoraprover
textualize/rich,certora/certoraprover
rust-lang/log,certora/certoraprover
python/mypy,certora/certoraprover
dabeaz/sly,certora/certoraprover
solana-program/token-2022,certora/certoraprover
agroce/universalmutator,certora/certoraprover
rust-random/rand,certora/certoraprover
python/typing_extensions,certora/certoraprover
razrfalcon/memmap2-rs,certora/certoraprover
psf/requests,certora/certoraprover
legrandin/pycryptodome,certora/certoraprover
serde-rs/json,certora/certoraprover
gimli-rs/gimli,certora/certoraprover
langchain-ai/langgraph,certora/certoraprover
serde-rs/serde,certora/certoraprover
productize/symbolic-expressions,certora/certoraprover
rust-num/num-bigint,certora/certoraprover
egraphs-good/egg,certora/certoraprover
xdissent/karma-chai,chainsafe/bls
webpack/webpack-cli,chainsafe/bls
webpack/webpack,chainsafe/bls
webpack-contrib/null-loader,chainsafe/bls
webpack-contrib/karma-webpack,chainsafe/bls
typestrong/ts-node,chainsafe/bls
typestrong/ts-loader,chainsafe/bls
typescript-eslint/typescript-eslint,chainsafe/bls
softwareventures/resolve-typescript-plugin,chainsafe/bls
prettier/prettier,chainsafe/bls
prettier/eslint-plugin-prettier,chainsafe/bls
paulmillr/noble-hashes,chainsafe/bls
paulmillr/noble-bls12-381,chainsafe/bls
mysticatea/eslint-plugin-node,chainsafe/bls
mochajs/mocha,chainsafe/bls
mlex/karma-spec-reporter,chainsafe/bls
microsoft/typescript,chainsafe/bls
karma-runner/karma-mocha,chainsafe/bls
karma-runner/karma-cli,chainsafe/bls
karma-runner/karma-chrome-launcher,chainsafe/bls
karma-runner/karma,chainsafe/bls
istanbuljs/nyc,chainsafe/bls
herumi/bls-eth-wasm,chainsafe/bls
feross/buffer,chainsafe/bls
eslint/eslint,chainsafe/bls
definitelytyped/definitelytyped,chainsafe/bls
chaijs/chai,chainsafe/bls
benmosher/eslint-plugin-import,chainsafe/bls
andywer/threads.js,chainsafe/bls
facebook/react,chainsafe/lodestar
bbc/typescript-docs-verifier,chainsafe/lodestar
dwmkerr/wait-port,chainsafe/lodestar
winstonjs/triple-beam,chainsafe/lodestar
evanw/node-source-map-support,chainsafe/lodestar
browserify/path-browserify,chainsafe/lodestar
chainsafe/benchmark,chainsafe/lodestar
chainsafe/biomejs-config,chainsafe/lodestar
isaacs/rimraf,chainsafe/lodestar
thekashey/rewiremock,chainsafe/lodestar
tmpvar/jsdom,chainsafe/lodestar
ladjs/supertest,chainsafe/lodestar
fastify/fastify-swagger-ui,chainsafe/lodestar
davidmyersdev/vite-plugin-node-polyfills,chainsafe/lodestar
winstonjs/winston-daily-rotate-file,chainsafe/lodestar
motdotla/dotenv,chainsafe/lodestar
winstonjs/winston-transport,chainsafe/lodestar
mysticatea/npm-run-all,chainsafe/lodestar
vitejs/vite,chainsafe/lodestar
axios/axios,chainsafe/lodestar
fastify/fastify-swagger,chainsafe/lodestar
substack/https-browserify,chainsafe/lodestar
ljharb/qs,chainsafe/lodestar
nodeca/js-yaml,chainsafe/lodestar
browserify/stream-browserify,chainsafe/lodestar
fastify/fastify-cors,chainsafe/lodestar
hokaccha/node-jwt-simple,chainsafe/lodestar
typestrong/ts-node,chainsafe/lodestar
facebook/docusaurus,chainsafe/lodestar
nbubna/case,chainsafe/lodestar
sebhildebrandt/systeminformation,chainsafe/lodestar
biomejs/biome,chainsafe/lodestar
eventsource/eventsource,chainsafe/lodestar
sboudrias/inquirer.js,chainsafe/lodestar
fastify/fastify-bearer-auth,chainsafe/lodestar
nodejs/node-gyp,chainsafe/lodestar
winstonjs/winston,chainsafe/lodestar
moxystudio/node-proper-lockfile,chainsafe/lodestar
chainsafe/node-prometheus-gc-stats,chainsafe/lodestar
qmhc/vite-plugin-dts,chainsafe/lodestar
developit/mitt,chainsafe/lodestar
tehshrike/deepmerge,chainsafe/lodestar
yargs/yargs,chainsafe/lodestar
achingbrain/uint8-varint,chainsafe/lodestar
